domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
256;39062;50;0.001000;input_data_256.h5;;par;50.598122;1.819322e+00;4.657524e-05
256;39062;50;0.001000;input_data_256.h5;/lscratch/1175611.dm2/256x256_out_64_par.h5;par;50.598122;3.665585e+00;9.384018e-05
512;19531;50;0.001000;input_data_512.h5;;par;30.967759;2.919682e+00;1.494896e-04
512;19531;50;0.001000;input_data_512.h5;/lscratch/1175611.dm2/512x512_out_64_par.h5;par;30.967759;3.243127e+00;1.660502e-04
1024;9765;50;0.001000;input_data_1024.h5;;par;23.933412;7.971744e+00;8.163588e-04
1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1175611.dm2/1024x1024_out_64_par.h5;par;23.933412;7.093316e+00;7.264020e-04
2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;1.401220e+01;2.870177e-03
2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1175611.dm2/2048x2048_out_64_par.h5;par;21.396944;1.579102e+01;3.234540e-03
4096;2441;50;0.001000;input_data_4096.h5;;par;20.496800;3.382690e+01;1.385780e-02
4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1175611.dm2/4096x4096_out_64_par.h5;par;20.496800;3.586374e+01;1.469223e-02
