domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
256;39062;50;0.001000;input_data_256.h5;;seq;50.598125;1.206884e+01;3.089661e-04
256;39062;50;0.001000;input_data_256.h5;/lscratch/1175620.dm2/256x256_out_seq.h5;seq;50.598125;1.225667e+01;3.137747e-04
512;19531;50;0.001000;input_data_512.h5;;seq;30.967758;2.574040e+01;1.317925e-03
512;19531;50;0.001000;input_data_512.h5;/lscratch/1175620.dm2/512x512_out_seq.h5;seq;30.967758;2.552986e+01;1.307145e-03
1024;9765;50;0.001000;input_data_1024.h5;;seq;23.933413;5.261526e+01;5.388147e-03
1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1175620.dm2/1024x1024_out_seq.h5;seq;23.933413;5.256212e+01;5.382706e-03
2048;4882;50;0.001000;input_data_2048.h5;;seq;21.396944;1.091037e+02;2.234816e-02
2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1175620.dm2/2048x2048_out_seq.h5;seq;21.396944;1.093984e+02;2.240852e-02
4096;2441;50;0.001000;input_data_4096.h5;;seq;20.496801;2.186692e+02;8.958181e-02
4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1175620.dm2/4096x4096_out_seq.h5;seq;20.496801;2.238669e+02;9.171114e-02
