domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
256;39062;50;0.001000;input_data_256.h5;;par;50.598122;1.305326e+00;3.341677e-05
256;39062;50;0.001000;input_data_256.h5;/lscratch/1175607.dm2/256x256_out_64_par.h5;par;50.598122;1.473280e+00;3.771645e-05
512;19531;50;0.001000;input_data_512.h5;;par;30.967759;2.078094e+00;1.063998e-04
512;19531;50;0.001000;input_data_512.h5;/lscratch/1175607.dm2/512x512_out_64_par.h5;par;30.967759;3.641962e+00;1.864708e-04
1024;9765;50;0.001000;input_data_1024.h5;;par;23.933412;5.457855e+00;5.589201e-04
1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1175607.dm2/1024x1024_out_64_par.h5;par;23.933412;3.741439e+00;3.831479e-04
2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;9.153258e+00;1.874899e-03
2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1175607.dm2/2048x2048_out_64_par.h5;par;21.396944;8.478955e+00;1.736779e-03
4096;2441;50;0.001000;input_data_4096.h5;;par;20.496800;2.058918e+01;8.434732e-03
4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1175607.dm2/4096x4096_out_64_par.h5;par;20.496800;2.115677e+01;8.667255e-03
