domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
256;39062;50;0.001000;input_data_256.h5;;par;50.598122;3.050259e+00;7.808763e-05
256;39062;50;0.001000;input_data_256.h5;/lscratch/1175605.dm2/256x256_out_128_par.h5;par;50.598122;2.790401e+00;7.143518e-05
512;19531;50;0.001000;input_data_512.h5;;par;30.967759;7.949400e-01;4.070145e-05
512;19531;50;0.001000;input_data_512.h5;/lscratch/1175605.dm2/512x512_out_128_par.h5;par;30.967759;3.021342e+00;1.546947e-04
1024;9765;50;0.001000;input_data_1024.h5;;par;23.933412;4.464773e+00;4.572220e-04
1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1175605.dm2/1024x1024_out_128_par.h5;par;23.933412;3.881649e+00;3.975063e-04
2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;4.096851e+00;8.391747e-04
2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1175605.dm2/2048x2048_out_128_par.h5;par;21.396944;8.473135e+00;1.735587e-03
4096;2441;50;0.001000;input_data_4096.h5;;par;20.496800;5.563050e+00;2.279005e-03
4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1175605.dm2/4096x4096_out_128_par.h5;par;20.496800;1.024701e+01;4.197872e-03
