domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
256;39062;50;0.001000;input_data_256.h5;;par;50.598122;1.333123e+00;3.412838e-05
256;39062;50;0.001000;input_data_256.h5;/lscratch/1175606.dm2/256x256_out_64_par.h5;par;50.598122;1.373166e+00;3.515350e-05
512;19531;50;0.001000;input_data_512.h5;;par;30.967759;1.028173e+00;5.264313e-05
512;19531;50;0.001000;input_data_512.h5;/lscratch/1175606.dm2/512x512_out_64_par.h5;par;30.967759;3.406048e+00;1.743919e-04
1024;9765;50;0.001000;input_data_1024.h5;;par;23.933412;2.748956e+00;2.815111e-04
1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1175606.dm2/1024x1024_out_64_par.h5;par;23.933412;3.058221e+00;3.131819e-04
2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;7.422022e+00;1.520283e-03
2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1175606.dm2/2048x2048_out_64_par.h5;par;21.396944;8.016321e+00;1.642016e-03
4096;2441;50;0.001000;input_data_4096.h5;;par;20.496800;8.258378e+00;3.383195e-03
4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1175606.dm2/4096x4096_out_64_par.h5;par;20.496800;1.308800e+01;5.361737e-03
