domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
256;39062;50;0.001000;input_data_256.h5;;par;50.598122;1.312571e+00;3.360225e-05
256;39062;50;0.001000;input_data_256.h5;/lscratch/1174995.dm2/256x256_out_64_par.h5;par;50.598122;3.152732e+00;8.071098e-05
512;19531;50;0.001000;input_data_512.h5;;par;30.967759;2.112384e+00;1.081554e-04
512;19531;50;0.001000;input_data_512.h5;/lscratch/1174995.dm2/512x512_out_64_par.h5;par;30.967759;2.274124e+00;1.164366e-04
1024;9765;50;0.001000;input_data_1024.h5;;par;23.933412;3.163626e+00;3.239760e-04
1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1174995.dm2/1024x1024_out_64_par.h5;par;23.933412;5.228946e+00;5.354783e-04
2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;9.072102e+00;1.858276e-03
2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1174995.dm2/2048x2048_out_64_par.h5;par;21.396944;1.208133e+01;2.474669e-03
4096;2441;50;0.001000;input_data_4096.h5;;par;20.496800;1.943916e+01;7.963604e-03
4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1174995.dm2/4096x4096_out_64_par.h5;par;20.496800;2.220590e+01;9.097049e-03
