domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
256;39062;50;0.001000;input_data_256.h5;;par;50.598122;1.347383e+00;3.449345e-05
256;39062;50;0.001000;input_data_256.h5;/lscratch/1174993.dm2/256x256_out_128_par.h5;par;50.598122;1.258322e+00;3.221346e-05
512;19531;50;0.001000;input_data_512.h5;;par;30.967759;2.430551e+00;1.244458e-04
512;19531;50;0.001000;input_data_512.h5;/lscratch/1174993.dm2/512x512_out_128_par.h5;par;30.967759;1.106013e+00;5.662859e-05
1024;9765;50;0.001000;input_data_1024.h5;;par;23.933412;2.099489e+00;2.150014e-04
1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1174993.dm2/1024x1024_out_128_par.h5;par;23.933412;4.726824e+00;4.840578e-04
2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;6.704532e+00;1.373317e-03
2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1174993.dm2/2048x2048_out_128_par.h5;par;21.396944;5.462714e+00;1.118950e-03
4096;2441;50;0.001000;input_data_4096.h5;;par;20.496800;7.340128e+00;3.007017e-03
4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1174993.dm2/4096x4096_out_128_par.h5;par;20.496800;1.515321e+01;6.207787e-03
