domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
256;39062;50;0.001000;input_data_256.h5;;par;50.598122;1.029418e+00;2.635344e-05
256;39062;50;0.001000;input_data_256.h5;/lscratch/1174996.dm2/256x256_out_64_par.h5;par;50.598122;1.244458e+00;3.185853e-05
512;19531;50;0.001000;input_data_512.h5;;par;30.967759;3.897918e+00;1.995760e-04
512;19531;50;0.001000;input_data_512.h5;/lscratch/1174996.dm2/512x512_out_64_par.h5;par;30.967759;1.356007e+00;6.942845e-05
1024;9765;50;0.001000;input_data_1024.h5;;par;23.933412;2.395361e+00;2.453007e-04
1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1174996.dm2/1024x1024_out_64_par.h5;par;23.933412;8.528703e+00;8.733951e-04
2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;7.331157e+00;1.501671e-03
2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1174996.dm2/2048x2048_out_64_par.h5;par;21.396944;9.809264e+00;2.009272e-03
4096;2441;50;0.001000;input_data_4096.h5;;par;20.496800;1.220702e+01;5.000828e-03
4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1174996.dm2/4096x4096_out_64_par.h5;par;20.496800;1.601009e+01;6.558822e-03
