domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
256;39062;50;0.001000;input_data_256.h5;;par;50.598122;1.807765e+00;4.627938e-05
256;39062;50;0.001000;input_data_256.h5;/lscratch/1174994.dm2/256x256_out_64_par.h5;par;50.598122;1.931870e+00;4.945650e-05
512;19531;50;0.001000;input_data_512.h5;;par;30.967759;3.009785e+00;1.541030e-04
512;19531;50;0.001000;input_data_512.h5;/lscratch/1174994.dm2/512x512_out_64_par.h5;par;30.967759;4.648708e+00;2.380169e-04
1024;9765;50;0.001000;input_data_1024.h5;;par;23.933412;5.640541e+00;5.776284e-04
1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1174994.dm2/1024x1024_out_64_par.h5;par;23.933412;6.184397e+00;6.333228e-04
2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;1.162495e+01;2.381187e-03
2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1174994.dm2/2048x2048_out_64_par.h5;par;21.396944;1.547924e+01;3.170676e-03
4096;2441;50;0.001000;input_data_4096.h5;;par;20.496800;3.139847e+01;1.286295e-02
4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1174994.dm2/4096x4096_out_64_par.h5;par;20.496800;3.335411e+01;1.366412e-02
