domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
256;39062;50;0.001000;input_data_256.h5;;par;50.598122;1.318857e+00;3.376317e-05
256;39062;50;0.001000;input_data_256.h5;/lscratch/1174984.dm2/256x256_out_64_par.h5;par;50.598122;3.056890e+00;7.825739e-05
512;19531;50;0.001000;input_data_512.h5;;par;30.967759;3.543795e+00;1.814446e-04
512;19531;50;0.001000;input_data_512.h5;/lscratch/1174984.dm2/512x512_out_64_par.h5;par;30.967759;2.404663e+00;1.231203e-04
1024;9765;50;0.001000;input_data_1024.h5;;par;23.933412;4.707146e+00;4.820426e-04
1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1174984.dm2/1024x1024_out_64_par.h5;par;23.933412;5.185853e+00;5.310653e-04
2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;7.563635e+00;1.549290e-03
2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1174984.dm2/2048x2048_out_64_par.h5;par;21.396944;8.541010e+00;1.749490e-03
4096;2441;50;0.001000;input_data_4096.h5;;par;20.496800;1.860431e+01;7.621594e-03
4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1174984.dm2/4096x4096_out_64_par.h5;par;20.496800;2.044204e+01;8.374455e-03
