domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
256;39062;50;0.001000;input_data_256.h5;;par;50.598122;1.797875e+00;4.602619e-05
256;39062;50;0.001000;input_data_256.h5;/lscratch/1174983.dm2/256x256_out_64_par.h5;par;50.598122;1.936452e+00;4.957380e-05
512;19531;50;0.001000;input_data_512.h5;;par;30.967759;2.910267e+00;1.490076e-04
512;19531;50;0.001000;input_data_512.h5;/lscratch/1174983.dm2/512x512_out_64_par.h5;par;30.967759;4.759650e+00;2.436972e-04
1024;9765;50;0.001000;input_data_1024.h5;;par;23.933412;6.699214e+00;6.860434e-04
1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1174983.dm2/1024x1024_out_64_par.h5;par;23.933412;7.840989e+00;8.029687e-04
2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;1.177242e+01;2.411392e-03
2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1174983.dm2/2048x2048_out_64_par.h5;par;21.396944;1.556221e+01;3.187671e-03
4096;2441;50;0.001000;input_data_4096.h5;;par;20.496800;3.267445e+01;1.338568e-02
4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1174983.dm2/4096x4096_out_64_par.h5;par;20.496800;3.597911e+01;1.473950e-02
