domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
256;39062;50;0.001000;input_data_256.h5;;par;50.598122;1.039645e+00;2.661525e-05
256;39062;50;0.001000;input_data_256.h5;/lscratch/1174985.dm2/256x256_out_64_par.h5;par;50.598122;1.200788e+00;3.074057e-05
512;19531;50;0.001000;input_data_512.h5;;par;30.967759;1.015698e+00;5.200440e-05
512;19531;50;0.001000;input_data_512.h5;/lscratch/1174985.dm2/512x512_out_64_par.h5;par;30.967759;1.301225e+00;6.662358e-05
1024;9765;50;0.001000;input_data_1024.h5;;par;23.933412;4.014128e+00;4.110730e-04
1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1174985.dm2/1024x1024_out_64_par.h5;par;23.933412;4.917757e+00;5.036105e-04
2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;3.758978e+00;7.699668e-04
2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1174985.dm2/2048x2048_out_64_par.h5;par;21.396944;6.786044e+00;1.390013e-03
4096;2441;50;0.001000;input_data_4096.h5;;par;20.496800;6.828313e+00;2.797343e-03
4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1174985.dm2/4096x4096_out_64_par.h5;par;20.496800;1.206386e+01;4.942178e-03
