domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
256;39062;50;0.001000;input_data_256.h5;;seq;50.598125;1.206422e+01;3.088481e-04
256;39062;50;0.001000;input_data_256.h5;/lscratch/1174986.dm2/256x256_out_seq.h5;seq;50.598125;1.238525e+01;3.170665e-04
512;19531;50;0.001000;input_data_512.h5;;seq;30.967758;2.519253e+01;1.289874e-03
512;19531;50;0.001000;input_data_512.h5;/lscratch/1174986.dm2/512x512_out_seq.h5;seq;30.967758;2.566236e+01;1.313929e-03
1024;9765;50;0.001000;input_data_1024.h5;;seq;23.933413;5.209510e+01;5.334880e-03
1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1174986.dm2/1024x1024_out_seq.h5;seq;23.933413;5.282588e+01;5.409716e-03
2048;4882;50;0.001000;input_data_2048.h5;;seq;21.396944;1.083160e+02;2.218681e-02
2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1174986.dm2/2048x2048_out_seq.h5;seq;21.396944;1.097784e+02;2.248636e-02
4096;2441;50;0.001000;input_data_4096.h5;;seq;20.496801;2.221349e+02;9.100159e-02
4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1174986.dm2/4096x4096_out_seq.h5;seq;20.496801;2.222962e+02;9.106767e-02
