domainSize;nIterations;nThreads;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;avgColumnTemperature;totalTime;iterationTime
64;156250;1;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_out_seq.h5;seq;93.792694;3.464204e+00;2.217091e-05
64;156250;2;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_2threads_out_par1.h5;par1;0.000000;2.120392e+00;1.357051e-05
64;156250;3;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_3threads_out_par1.h5;par1;0.000000;1.752239e+00;1.121433e-05
64;156250;4;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_4threads_out_par1.h5;par1;0.000000;1.553728e+00;9.943858e-06
64;156250;5;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_5threads_out_par1.h5;par1;0.000000;1.513133e+00;9.684052e-06
64;156250;6;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_6threads_out_par1.h5;par1;0.000000;3.645987e+00;2.333432e-05
64;156250;7;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_7threads_out_par1.h5;par1;0.000000;1.381937e+00;8.844397e-06
64;156250;8;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_8threads_out_par1.h5;par1;0.000000;2.278285e+00;1.458102e-05
64;156250;9;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_9threads_out_par1.h5;par1;0.000000;1.534182e+00;9.818765e-06
64;156250;10;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_10threads_out_par1.h5;par1;0.000000;3.116338e+00;1.994456e-05
64;156250;11;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_11threads_out_par1.h5;par1;0.000000;1.600848e+00;1.024543e-05
64;156250;12;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_12threads_out_par1.h5;par1;0.000000;1.570980e+00;1.005427e-05
64;156250;13;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_13threads_out_par1.h5;par1;0.000000;1.666787e+00;1.066744e-05
64;156250;14;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_14threads_out_par1.h5;par1;0.000000;1.653918e+00;1.058508e-05
64;156250;15;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_15threads_out_par1.h5;par1;0.000000;1.682242e+00;1.076635e-05
64;156250;16;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_16threads_out_par1.h5;par1;0.000000;3.140643e+00;2.010012e-05
64;156250;2;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_2threads_out_par2.h5;par2;0.000000;2.984583e+00;1.910133e-05
64;156250;3;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_3threads_out_par2.h5;par2;0.000000;1.716236e+00;1.098391e-05
64;156250;4;25;0.001000;/lscratch/1165437.dm2/tmp_material.h5;/lscratch/1165437.dm2/64x64_4threads_out_par2.h5;par2;0.000000;1.294654e+00;8.285785e-06
